Description: CO2 (13K)
      freq [cm-1]    absorbance      imag pt (k)       real pt (n)
       454.16110       0.0000000  -1.0000000e-06       1.2578560
       454.40220       0.0000000       0.0000000       1.2578620
       454.64320       0.0000000  -8.0000000e-06       1.2578980
       454.88430       0.0000000  -5.0000000e-06       1.2579120
       455.12540       0.0000000  -1.2000000e-05       1.2579460
       455.36640       0.0000000  -1.0000000e-05       1.2579680
       455.60750       0.0000000  -7.0000000e-06       1.2580000
       455.84850       0.0000000  -7.0000000e-06       1.2580170
       456.08960       0.0000000  -2.0000000e-06       1.2580510
       456.33070       0.0000000  -1.0000000e-06       1.2580590
       456.57170       0.0000000  -9.0000000e-06       1.2580940
       456.81280       0.0000000  -6.0000000e-06       1.2581150
       457.05390       0.0000000  -3.0000000e-06       1.2581470
       457.29490       0.0000000  -1.0000000e-06       1.2581630
       457.53600       0.0000000   2.0000000e-06       1.2581940
       457.77700       0.0000000   3.0000000e-06       1.2582060
       458.01810       0.0000000  -3.0000000e-06       1.2582320
       458.25920       0.0000000  -1.2000000e-05       1.2582590
       458.50020       0.0000000   1.0000000e-06       1.2582940
       458.74130       0.0000000  -7.0000000e-06       1.2583040
       458.98240       0.0000000  -3.0000000e-06       1.2583460
       459.22340       0.0000000  -2.0000000e-06       1.2583570
       459.46450       0.0000000   2.0000000e-06       1.2583950
       459.70550       0.0000000   3.0000000e-06       1.2584000
       459.94660       0.0000000  -4.0000000e-06       1.2584370
       460.18770       0.0000000  -2.0000000e-06       1.2584550
       460.42870       0.0000000   1.0000000e-06       1.2584860
       460.66980       0.0000000  -8.0000000e-06       1.2585000
       460.91090       0.0000000  -4.0000000e-06       1.2585440
       461.15190       0.0000000  -2.0000000e-06       1.2585500
       461.39300       0.0000000  -9.0000000e-06       1.2585890
       461.63400       0.0000000  -9.0000000e-06       1.2586070
       461.87510       0.0000000  -5.0000000e-06       1.2586480
       462.11610       0.0000000  -4.0000000e-06       1.2586560
       462.35720       0.0000000  -9.0000000e-06       1.2587010
       462.59830       0.0000000   2.0000000e-06       1.2587120
       462.83940       0.0000000  -4.0000000e-06       1.2587450
       463.08040       0.0000000  -3.0000000e-06       1.2587590
       463.32150       0.0000000  -1.0000000e-05       1.2588010
       463.56250       0.0000000   3.0000000e-06       1.2588190
       463.80360       0.0000000  -3.0000000e-06       1.2588460
       464.04460       0.0000000  -2.0000000e-06       1.2588650
       464.28570       0.0000000  -9.0000000e-06       1.2588970
       464.52680       0.0000000  -8.0000000e-06       1.2589240
