wavenumber,thetaR_0,thetaR_1,thetaR_2,thetaR_3,thetaR_4,thetaR_5,thetaR_6,thetaR_7,thetaR_8,thetaR_9,thetaR_10,thetaR_11,thetaR_12,thetaR_13,thetaR_14,thetaR_15,thetaR_16,thetaR_17,thetaR_18,thetaR_19,thetaR_20,thetaR_21,thetaR_22,thetaR_23,thetaR_24,thetaR_25,thetaR_26,thetaR_27,thetaR_28,thetaR_29,thetaR_30
1731.9016279875302,15.27983173798256,15.865175556261287,16.47474308180481,17.108862356895962,17.767697988032225,18.45121370742782,19.159129856568423,19.890875658964926,20.64553635090963,21.42179552413081,22.217873420612094,23.031462424634743,23.85966163396579,24.698913166916984,25.54494376669772,26.3927162689824,27.236396540800925,28.069342473793572,28.884122365298587,29.67257033293153,30.425886019180005,31.13478446561347,31.789699413958036,32.38103927621463,32.89948967517474,33.33635017440849,33.683886355322386,33.9356728641972,34.08689972342214,34.13461422480118,34.07787473925022
1730.1038062283735,15.279926841734861,15.865458889871256,16.4752336513967,17.109580305730688,17.768664518552917,18.45245095696449,19.160660716339237,19.8927235248637,20.647724793659318,21.424347865906174,22.220812205449985,23.034808771190356,23.863434461842846,24.703128292367317,25.549612870449057,26.39784574878143,27.24198627428468,28.075384533574,28.89059974721626,29.679455779122613,30.43314103774963,31.142358665043542,31.797530278575877,32.38905250418499,32.90760017796101,33.344463793643314,33.69190229012562,33.94348672456997,34.09440704396992,34.14171420205026,34.08447391026532
1728.0110592707792,15.280697652433405,15.866557089484282,16.476696778616844,17.111449159368807,17.77098325577129,18.455267139486136,19.164025286425368,19.89669068930335,20.652351790289753,21.42969458350035,22.226940624510018,23.041782190774587,23.871316476720985,24.711981486455343,25.559497197758798,26.40881658335402,27.254092127171827,28.088664459172616,28.90508049397317,29.695148780667196,30.45003938815309,31.160434272161698,31.816731435577964,32.40930215194112,32.92879513864712,33.36647522767273,33.714577556775026,33.96665271116131,34.11787487919316,34.165285106787096,34.10794579260468
1725.9233690024164,15.280643596022392,15.866603876248117,16.476864054797247,17.111759409723746,17.771462122243385,18.45594375275483,19.16493260284877,19.897865822552095,20.65383632302586,21.431534839711233,22.229187877582117,23.0444927761917,23.874551771654314,24.715807711940702,25.56398499337541,26.41404030041736,27.26012878591176,28.095592320049093,28.912977205319446,29.704089086385434,30.460092411885977,31.17166043871378,31.8291791447794,32.42300438010336,32.94376620025482,33.38270797380988,33.73204130420599,33.98529217553756,34.13761032131416,34.18601379481061,34.12954474864578
1724.1379310344828,15.285426048817058,15.8711919698238,16.481236902937287,17.115896330453097,17.775343140210563,18.45955022586978,19.168247990473745,19.90087661191796,20.656533128513615,21.433913685658204,22.231251668709774,23.04625294989796,23.87603011254454,24.71703829044275,25.565016166692708,26.41493668548645,27.26097308129093,28.09648681876891,28.914044807203897,29.705473591567074,30.461957864424864,31.174189299041075,31.832569110997603,32.427463757983936,32.9495078422807,33.38994196306616,33.74096673328836,33.996088537606774,34.15042915694543,34.2009712920063,34.14671595218619
1722.0595832615807,15.286480117048509,15.87290291949163,16.483664373084736,17.119102578979774,17.77939258023135,18.464508784451315,19.174182255697296,19.90785273171085,20.664615423452776,21.44316293871706,22.241723058639565,23.057993602769766,23.889076259283204,24.731412038437803,25.580721922220068,26.43195730187754,27.27926585601022,28.11597952002305,28.934631974668992,29.727013420832197,30.484270042007235,31.197054191993903,31.85572871705074,32.45062477293587,32.9723470881028,33.41211423811183,33.762114903877816,34.015855413982884,34.16847042853873,34.21696858916244,34.16038900321617
1719.986240110079,15.286292501888816,15.87257440555661,16.483191949153333,17.11848502844834,17.77863096816852,18.463607024486,19.173147762300875,19.906697161242295,20.663355503927505,21.4418213833087,22.240329551077963,23.056585833722117,23.88770098123176,24.730126092390744,25.579593172991824,26.431065400281156,27.278702727399267,28.115849461338634,28.935051229643136,29.7281090994685,30.486178260920113,31.199917341837004,31.859691816339215,32.45583094566025,32.978932302654094,33.420201557927314,33.771808609836974,34.02723544365238,34.1815876155018,34.23184115954592,34.17700069034807
1717.9178835251676,15.287346691135584,15.874285657388988,16.485620003821943,17.1216922625992,17.78268193266543,18.46856780436742,19.179085124667917,19.913677454327527,20.671443269311855,21.451077643976024,22.25080974167503,23.06833734719458,23.900760319300243,24.74451562760587,25.595317558828025,26.448107704074804,27.297020409394488,28.135370380909002,28.955669924177798,29.749683646980433,30.50852809530038,31.222822427415807,31.88289359072282,32.47903539062461,33.00181538911013,33.44241712773443,33.792998513291195,34.04704147292549,34.19966450394405,34.24786970720557,34.190699977062366
1715.854495538778,15.28928798314976,15.876302944025479,16.487720648608956,17.123884671531357,17.784975695207855,18.470973846470038,19.18161587215111,19.916347003769804,20.674267561959294,21.4540746361442,22.25399956258435,23.07174243215789,23.904405502711562,24.74842817639349,25.599527123189315,26.452646158833673,27.30192155684985,28.14066948544888,28.961403051304714,29.75588678595768,30.51523605655158,31.230067523892917,31.890704136684878,32.48743408031779,33.01081764865473,33.45202956123564,33.80321758258097,34.05785255305506,34.2110414388999,34.259774951262884,34.20308535058524
1714.0898183064794,15.290342590823462,15.878015010958158,16.4901500575541,17.127093962060904,17.7890296024364,18.47593866140095,19.187558589233085,19.923334218664,20.682364081193615,21.46334176101863,22.264493013346428,23.0835098862707,23.917483734366538,24.762839804784264,25.61527700594574,26.469717505612927,27.320271886900773,28.160226611242372,28.982061335316317,29.77750398388025,30.537631118670973,31.2530197645074,31.913954183813647,32.51068696825624,33.03374830096098,33.47429072654099,33.82445003913463,34.077697116662016,34.22915203629287,34.2758318102526,34.21680725981956
1712.035610340695,15.292946472999015,15.880308918304475,16.4921223172162,17.128736695085045,17.79033989555765,18.47691994564776,19.188222242774614,19.923701406569837,20.6824678370048,21.463229303369708,22.264228274378045,23.083176206277304,23.917186648223574,24.762709809742358,25.61547215759805,26.470425640576632,27.32171221998429,28.162650406773423,28.985751314739,29.782772115389772,30.54481445261658,31.262474044511233,31.926045089999835,32.525779041381476,33.05219184888619,33.49640730562788,33.85051739308945,34.107934689799784,34.26370829839944,34.31477458870592,34.26011805225927
1709.986320109439,15.292758697074857,15.879980093548111,16.491649401160984,17.1281184381025,17.78957732894192,18.47601695004431,19.187186202660484,19.92254395432529,20.681205686731268,21.46188516967403,22.262831864501916,23.081765264858493,23.91580802235472,24.761420487723317,25.6143402180226,26.46953102976869,27.321147256569937,28.162519894476905,28.986172131489194,29.783872142762558,30.54673071961421,31.265349989022955,31.93002689440052,32.53101107738467,33.05881136812393,33.50453862725189,33.86026595176809,34.11938139515031,34.276904697161044,34.32973929585884,34.276834820537665
1707.9419299743806,15.293813789666693,15.881692964544945,16.494079985292473,17.13132934148677,17.79363337114701,18.480984528249493,19.193132443479048,19.929535616211904,20.68930777450349,21.471159223268778,22.273333887619362,23.093543266793624,23.928899159462603,24.775847811122887,25.630109062816043,26.486625119469718,27.33952464514366,28.182108926706256,29.00686766763557,29.805532360263097,30.569174863995745,31.288357485781123,31.9533382377563,32.55433086412278,33.08181373153579,33.52687514209998,33.88157583451884,34.13930354057145,34.295090816066285,34.345867203028824,34.29062081788334
