theta_i_degrees,n0_to_n0p50,n0_to_n0p55,n0_to_n0p60,n0_to_n0p65,n0_to_n0p70,n0_to_n0p75,n0_to_n0p80,n0_to_n0p85,n0_to_n0p90,n0_to_n0p95,n0_to_n1p00,n0_to_n1p05,n0_to_n1p10,n0_to_n1p15,n0_to_n1p20,n0_to_n1p25,n0_to_n1p30,n0_to_n1p35,n0_to_n1p40,n0_to_n1p45,n0_to_n1p50,n0_to_n1p55,n0_to_n1p60,n0_to_n1p65,n0_to_n1p70,n0_to_n1p75,n0_to_n1p80,n0_to_n1p85,n0_to_n1p90,n0_to_n1p95,n0_to_n2p00
10.562746274627465,4.1657697763040265,4.376056493873486,4.601390663267774,4.843071230546399,5.10250675245693,5.381217445914692,5.680833397495357,6.003086899314363,6.3497960543057435,6.72283568392552,7.124090102681813,7.55538043153415,8.018356778063916,8.514342884984512,9.044118019271453,9.607618622844441,10.203541956099462,10.828838139229648,11.478089694852011,12.14280469666518,12.810697536386298,13.465104233626786,14.084771213620467,14.644339669299372,15.115861338597295,15.471539534294433,15.687529027962198,15.748103753503905,15.649050008648224,15.399103531681012,15.018797641874006
10.571727172717273,4.169277612695319,4.379742078463592,4.605266825618807,4.847151929097885,5.106807174734831,5.385754112202673,5.6856242650357816,6.0081514623782075,6.355155432984059,6.728512690954888,7.130109272631851,7.56176798975967,8.025140517364214,8.521551905289057,9.05178226939501,9.615768163461057,10.212205840912922,10.83804279090548,11.487856642603946,12.15314756038623,12.82161821539915,13.476588423339887,14.096783664208894,14.656820013564504,15.128721754321399,15.48466573080075,15.700785720953066,15.761344706381252,15.6621311145537,15.411896067738592,15.03119859804117
10.580708070807082,4.172785362119438,4.383427573386347,4.609142895687563,4.85123253289911,5.11110750002104,5.390290679586058,5.690415032216941,6.01321592425005,6.360514710464304,6.734189597859962,7.136128344919731,7.568155454541867,8.03192416962374,8.528760847612459,9.059446453740934,9.623917654080316,10.220869695342758,10.847247435522046,11.497623609517586,12.163490470446646,12.83253896529028,13.488072700076861,14.1087962014536,14.669300417647735,15.141582166492388,15.497791816754896,15.714042152348755,15.77458521148826,15.675211569277886,15.424687754865674,15.043598535012512
10.58968896889689,4.176293024502175,4.387112978565107,4.6130188733950215,4.85531304186878,5.115407728232143,5.394827147979562,5.6952056989520345,6.018280284842074,6.365873886658313,6.739866404553133,7.142147319459564,7.574542825798076,8.03870773476497,8.535969711884672,9.067110572249478,9.632067094655985,10.22953351935967,10.856452073070207,11.507390595606077,12.173833426881528,12.84345978611178,13.499557063894352,14.120808825392828,14.681780881533614,15.154442574994617,15.510917791889785,15.727298321686519,15.787825268143052,15.688291371926367,15.437478591991686,15.055997451597392
10.5986698669867,4.17980059976933,4.3907982939232495,4.616894758662176,4.859393455925602,5.119707859284731,5.399363517297905,5.699996265154275,6.023344544066471,6.371232961477931,6.745543110946796,7.148166196165474,7.5809301034456515,8.045491212710388,8.54317849803566,9.07477462486088,9.640216485141817,10.238197312934377,10.865656703540825,11.517157600882586,12.184176429725987,12.854380677915735,13.511041514848955,14.132821536064753,14.694261405206502,15.16730297971211,15.524043655937843,15.740554228502956,15.801064875662957,15.701370521603891,15.450268578045236,15.068395346604458
10.607650765076508,4.183308087846692,4.394483519384129,4.620770551410004,4.863473774988272,5.124007893095381,5.403899787455798,5.704786730736853,6.0284087018354136,6.376591934834994,6.751219716953335,7.154184974951564,7.587317287401919,8.05227460338245,8.55038720599536,9.082438611515377,9.648365825491554,10.246861076037554,10.874861326924728,11.526924625360241,12.194519479015112,12.86530164075418,13.522526052997192,14.144834333507399,14.706741988650547,15.180163380528548,15.537169408630968,15.753809872333962,15.814304033364456,15.714449017414278,15.463057711954043,15.080792218841582
10.616631663166318,4.186815488660057,4.3981686548711165,4.6246462515594935,4.867553998975498,5.128307829580683,5.408435958367954,5.709577095612967,6.033472758061085,6.38195080664133,6.756896222485127,7.160203655731931,7.593704377584212,8.059057906703622,8.55759583569371,9.090102532153193,9.656515115658939,10.255524808639896,10.884065943212773,11.536691669052185,12.204862574783983,12.876222674679152,13.534010678395548,14.156847217758711,14.719222631849709,15.193023777327301,15.550295049700576,15.76706525271476,15.827542740563215,15.727526858460477,15.475845992644983,15.093188067115927
10.625612561256126,4.190322802135217,4.40185370030757,4.628521859031621,4.871634127805975,5.132607668657213,5.412972029949081,5.714367359695809,6.038536712655655,6.387309576808767,6.762572627454549,7.16622223842067,7.600091373909844,8.065841122596346,8.564804387060633,9.09776638671455,9.664664355597697,10.26418851071207,10.893270552395784,11.546458731971539,12.215205717067661,12.887143779742644,13.545495391100456,14.168860188856522,14.731703334787746,15.205884169991375,15.563420578877578,15.780320369179885,15.840780996574063,15.740604043844534,15.488633419044069,15.105582890233892
10.634593459345936,4.193830028197962,4.40553865561685,4.63239737374737,4.875714161398397,5.1369074102415455,5.417508002113878,5.719157522898565,6.043600565531285,6.392668245249116,6.768248931773959,7.172240722931858,7.606478276296123,8.072624250983054,8.572012860026035,9.105430175139638,9.672813545261537,10.272852182224742,10.902475154464582,11.55622581413142,12.225548905901197,12.898064955996619,13.556980191168279,14.180873246838532,14.744184097448187,15.218744558403435,15.576545995892333,15.793575221263174,15.854018800711005,15.753680572667598,15.501419990076437,15.117976687001118
10.643574357435744,4.1973371667740835,4.409223520722318,4.636272795627715,4.879794099671463,5.141207054250253,5.422043874777048,5.72394758513442,6.048664316600142,6.398026811874196,6.773925135355722,7.178259109179579,7.612865084660355,8.079407291786175,8.579221254519831,9.113093897368659,9.68096268460417,10.281515823148569,10.911679749409975,11.565992915544927,12.23589214131963,12.90898620349303,13.568465078655336,14.19288639174236,14.756664919814394,15.231604942445818,15.589671300474732,15.806829808497787,15.86725615228722,15.766756444029939,15.514205704666383,15.130369456222539
