wavenumber_cm1,absorbance_input,experimental_transmittance,n_film,k_film,theoretical_transmittance,fresnel_correction_amplitude,transmittance_residual
626.0385,0.0177,0.9600635909453472,1.7643235906769543,0.10052108209917555,0.9600635925766399,0.9954485631103924,-1.6312926565120733e-09
626.2795,0.0183,0.9587381298845328,1.7638759045682901,0.10405126342174421,0.9587381299020443,0.9953201256646693,-1.7511547767412594e-11
626.5206,0.0187,0.9578555059598827,1.7608361315239498,0.10671760945057539,0.9578555073670715,0.9952859234152804,-1.4071888099209673e-09
626.7616,0.0184,0.9585173976856458,1.7570853055432214,0.10535577086955872,0.9585173974630293,0.9954226161600828,2.2261648080501573e-10
627.0027,0.0177,0.9600635909453472,1.7578475560001787,0.10111301734461789,0.9600635923402425,0.9955656726278125,-1.394895310369293e-09
627.2438,0.0177,0.9600635909453472,1.7641298511866959,0.10034710505429936,0.9600635910420424,0.9954515725367572,-9.66952073966354e-11
627.4848,0.019,0.9571940712948445,1.7692174488773236,0.10730596217821145,0.9571940730088494,0.9950602767918851,-1.7140049379804623e-09
627.7259,0.0206,0.9536741259755847,1.7664683972582105,0.11696274312888334,0.9536741256494119,0.9947497992362777,3.2617275547153213e-10
627.9669,0.0212,0.9523574861919196,1.756442761527949,0.1217011251886843,0.9523574870887628,0.9948136105904564,-8.968431552958123e-10
628.208,0.0201,0.9547727161666106,1.745786972919281,0.11647886211809245,0.954772715465362,0.9952606546861781,7.012486147317532e-10
628.449,0.0181,0.9591797467879694,1.7434762403778943,0.1048874430880546,0.9591797478010519,0.9957373170019844,-1.013082506773344e-09
628.6901,0.0167,0.9622767660923995,1.7503221950425005,0.0958280760077984,0.9622767658539995,0.9959232590807097,2.3840007745690173e-10
628.9312,0.0167,0.9622767660923995,1.7614152748932996,0.09454784197746093,0.9622767676553483,0.9957275236815638,-1.5629487704060807e-09
629.1722,0.0179,0.9596215671103411,1.7687306284674031,0.10066363874298583,0.9596215673739883,0.9953206082878693,-2.6364721517069256e-10
629.4133,0.0191,0.9569736945876576,1.7703981656088996,0.10741063698359554,0.9569736963468591,0.995013946604065,-1.75920156220144e-09
629.6544,0.0199,0.9552125065089954,1.7694245926209184,0.1121473398896255,0.9552125064680976,0.9948498365874453,4.089772964732674e-11
629.8954,0.0204,0.9541134102819798,1.7678004100201352,0.11522051866749669,0.9541134116844754,0.9947679261238598,-1.4024955641289694e-09
630.1365,0.0207,0.9534545596724551,1.7658069447872964,0.11717600593679332,0.9534545593022663,0.9947393615181724,3.7018876852812355e-10
630.3776,0.0208,0.953235043920515,1.7644782125351512,0.11788133286291583,0.9532350451182585,0.9947430595911924,-1.1977435709908946e-09
630.6186,0.0209,0.9530155787081258,1.7633344600427483,0.11856376002674388,0.9530155782072799,0.9947432276877035,5.008459202926474e-10
630.8597,0.0209,0.9530155787081258,1.763138293907439,0.1185426233053874,0.9530155798457504,0.9947470414995208,-1.1376245501182325e-09
631.1008,0.0212,0.9523574861919196,1.763639854762651,0.12018658084050779,0.9523574856255544,0.9946699986984028,5.663651769793887e-10
631.3418,0.0216,0.9514807363517586,1.762020937583174,0.12268401451111967,0.9514807373019774,0.9946133439204804,-9.502187925392036e-10
631.5829,0.0217,0.9512616750371129,1.7580389647303547,0.12373013624218139,0.9512616742213137,0.9946713903011689,8.157992059665276e-10
631.8239,0.021,0.9527961640236519,1.7537791722478544,0.12011766874162483,0.952796164912464,0.994909900739202,-8.888121350025813e-10
632.065,0.02,0.954992586021436,1.7545848964366404,0.11411404331217409,0.9549925854901347,0.9951137416990653,5.313013362595598e-10
632.306,0.0195,0.9560926950198135,1.7595264287392118,0.11054914127839834,0.9560926962856404,0.9951297031749118,-1.2658268877530077e-09
632.5471,0.0198,0.9554324776409489,1.7657844377697667,0.11149138427970841,0.9554324774736551,0.9949417455447397,1.672937344210368e-10
632.7882,0.0207,0.9534545596724551,1.76929015842948,0.116241994594649,0.9534545610775602,0.9946692845003315,-1.4051051433483508e-09
633.0292,0.0215,0.9516998481129437,1.7684335454661932,0.12095316110779405,0.9516998476099209,0.9945057156054029,5.030228455993324e-10
633.2703,0.0218,0.9510426641573921,1.765552162675259,0.12302084132595957,0.9510426651643741,0.9944967953503664,-1.0069819422753312e-09
633.5114,0.0216,0.9514807363517586,1.7623790278971143,0.12221489845294861,0.9514807356510934,0.9946055901234833,7.006651925323126e-10
633.7524,0.0209,0.9530155787081258,1.761159812329144,0.1182443738871073,0.9530155797917695,0.9947855163138384,-1.083643730304118e-09
633.9935,0.0203,0.9543331283085358,1.764401806195203,0.11430581612417443,0.9543331279839928,0.9948555220640071,3.245429480713824e-10
634.2346,0.0203,0.9543331283085358,1.769898202545415,0.11357970084994305,0.9543331298322738,0.9947472719207978,-1.5237380246446719e-09
634.4756,0.0209,0.9530155787081258,1.7745994187486636,0.11641553838998495,0.9530155786379017,0.9945168245808896,7.022415982049779e-11
634.7167,0.0217,0.9512616750371129,1.7759819516832307,0.12081501088058857,0.9512616764769765,0.9943058426327327,-1.4398635617141053e-09
634.9578,0.022,0.9506047936562815,1.7746215860085122,0.1226778908589755,0.9506047932202943,0.9942652904108052,4.359871352832556e-10
635.1988,0.0218,0.9510426641573921,1.774830655692655,0.12144762993159125,0.9510426655077469,0.9943063421363456,-1.3503547169335661e-09
635.4399,0.0218,0.9510426641573921,1.778020354810574,0.12098779732423542,0.9510426639539401,0.9942406419816714,2.034520329985412e-10
635.6809,0.0221,0.950385934011676,1.7813412631638887,0.12223659016680491,0.9503859355879328,0.9941029030380127,-1.5762567917576575e-09
635.922,0.0225,0.9495109992021982,1.7849358522962793,0.12401643369275575,0.9495109990836347,0.9939352635637708,1.1856349235728203e-10
636.163,0.0231,0.9482001070195061,1.7892238309814703,0.1268405539799619,0.9482001086198838,0.993704967697352,-1.6003777192352686e-09
636.4041,0.0242,0.9458015033710132,1.7946053432998106,0.13236118158827404,0.9458015028313134,0.9933316672553251,5.396998403739417e-10
636.6451,0.0262,0.9414559401947251,1.797436967510769,0.1433651435109962,0.9414559399339719,0.9928015048791139,2.6075319681240217e-10
636.8862,0.0282,0.9371303430676046,1.791411969841226,0.15568268150830863,0.9371303391277369,0.9924816073088087,3.939867654345619e-09
637.1273,0.0287,0.9360520527214578,1.778787952163543,0.16040135779821646,0.93605205093262,0.9926695798562609,1.7888377445984815e-09
637.3683,0.0275,0.9386420366721352,1.7674170101801352,0.15504882522339153,0.9386420339571909,0.9931996618638843,2.714944269399666e-09
